index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,wnsynsetid,wnsynsetkey,active
0,Empty,empty,empty,0,void,n03284308,empty.n.01,1
1,Wall,wall,wall,1,wall,n04546855,wall.n.01,1
2,Ceiling,ceiling,ceiling,1,ceiling,n02990373,ceiling.n.01,1
3,Floor,floor,floor,1,floor,n03365592,floor.n.01,1
4,Box,unknown,unknown,2,void,n08632096,unknown.n.01,1
5,100,hanger,hanger,2,cabinet,n03490884,hanger.n.02,1
6,101,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
7,102,refrigerator,kitchen_appliance,2,refridgerator,n04070727,refrigerator.n.01,1
8,104,desk,desk,2,desk,n03179701,desk.n.01,1
9,105,desk,desk,2,desk,n03179701,desk.n.01,1
10,106,office_chair,chair,2,chair,n04373704,swivel_chair.n.01,1
11,107,desk,desk,2,desk,n03179701,desk.n.01,1
12,108,desk,desk,2,desk,n03179701,desk.n.01,1
13,109,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
14,110,television,television,2,television,n04405907,television_receiver.n.01,1
15,111,television,television,2,television,n04405907,television_receiver.n.01,1
16,112,television,television,2,television,n04405907,television_receiver.n.01,1
17,113,television,television,2,television,n04405907,television_receiver.n.01,1
18,114,television,television,2,television,n04405907,television_receiver.n.01,1
19,115,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,1
20,116,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,1
21,117,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,1
22,118,hanger,hanger,2,cabinet,n03490884,hanger.n.02,1
23,119,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
24,120,laptop,computer,2,television,n03642806,laptop.n.01,1
25,121,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
26,122,door,door,2,door,n03221720,door.n.01,1
27,123,hanger,hanger,2,cabinet,n03490884,hanger.n.02,1
28,124,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,1
29,125,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
30,126,window,window,2,window,n04587648,window.n.01,1
31,127,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,1
32,128,stand,stand,2,night_stand,n04301000,stand.n.04,1
33,129,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
34,130,plant,plant,2,otherprop,n00017222,plant.n.02,0
35,131,refrigerator,kitchen_appliance,2,refridgerator,n04070727,refrigerator.n.01,1
36,132,sink,sink,2,sink,n04223580,sink.n.01,1
37,133,door,door,2,door,n03221720,door.n.01,1
38,134,table_and_chair,table_and_chair,2,table,-,-,1
39,135,shower,shower,2,shower_curtain,n04208936,shower.n.01,1
40,136,fish_tank,toy,2,otherprop,n02732072,aquarium.n.01,1
41,137,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
42,138,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
43,139,shower,shower,2,shower_curtain,n04208936,shower.n.01,1
44,140,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
45,141,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,1
46,142,chair,chair,2,chair,n03001627,chair.n.01,1
47,143,piano,music,2,otherprop,n03928116,piano.n.01,1
48,144,mirror,mirror,2,mirror,n03773035,mirror.n.01,1
49,145,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,1
50,146,stand,stand,2,night_stand,n04301000,stand.n.04,1
51,147,stand,stand,2,night_stand,n04301000,stand.n.04,1
52,148,book,books,2,otherprop,n02870526,book.n.11,1
53,149,cup,kitchenware,2,otherprop,n03797390,mug.n.04,1
54,150,toilet,toilet,2,toilet,n04446276,toilet.n.01,1
55,151,stairs,stairs,1,floor,n04314914,step.n.04,1
56,152,stairs,stairs,1,floor,n04314914,step.n.04,1
57,153,rug,rug,2,floor_mat,n04118021,rug.n.01,1
58,154,pan,kitchenware,2,otherprop,n03880531,pan.n.01,1
59,155,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
60,156,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
61,157,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
62,166,armchair,chair,2,chair,n02738535,armchair.n.01,1
63,167,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
64,168,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
65,169,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
66,170,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
67,171,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
68,172,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
69,173,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
70,174,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
71,175,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,1
72,176,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,1
73,178,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,1
74,179,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,1
75,180,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,1
76,181,sink,sink,2,sink,n04223580,sink.n.01,1
77,182,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
78,183,sink,sink,2,sink,n04223580,sink.n.01,1
79,184,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
80,185,game_table,recreation,2,otherprop,n04379243,table.n.02,1
81,186,sink,sink,2,sink,n04223580,sink.n.01,1
82,187,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
83,188,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
84,189,computer,computer,2,television,n03082979,computer.n.01,1
85,190,baby_bed,bed,2,bed,n02766320,baby_bed.n.01,1
86,191,bookshelf,shelving,2,bookshelf,n02871439,bookshelf.n.01,1
87,192,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
88,193,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
89,194,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
90,195,stand,stand,2,night_stand,n04301000,stand.n.04,1
91,196,armchair,chair,2,chair,n02738535,armchair.n.01,1
92,197,stand,stand,2,night_stand,n04301000,stand.n.04,1
93,198,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,1
94,199,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,1
95,200,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,1
96,201,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,1
97,202,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,1
98,203,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,1
99,204,double_bed,bed,2,bed,n03225988,double_bed.n.01,1
100,205,double_bed,bed,2,bed,n03225988,double_bed.n.01,1
101,206,water_dispenser,kitchen_appliance,2,otherprop,n03210683,dispenser.n.01,1
102,207,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
103,208,hanger,hanger,2,cabinet,n03490884,hanger.n.02,1
104,209,window,window,2,window,n04587648,window.n.01,1
105,210,window,window,2,window,n04587648,window.n.01,1
106,211,window,window,2,window,n04587648,window.n.01,1
107,212,window,window,2,window,n04587648,window.n.01,1
108,213,window,window,2,window,n04587648,window.n.01,1
109,214,door,door,2,door,n03221720,door.n.01,1
110,215,television,television,2,television,n04405907,television_receiver.n.01,1
111,216,television,television,2,television,n04405907,television_receiver.n.01,1
112,217,hanger,hanger,2,cabinet,n03490884,hanger.n.02,1
113,218,stereo_set,music,2,otherprop,n04315948,stereo.n.01,1
114,219,dishwasher,kitchen_appliance,2,otherprop,n03207941,dishwasher.n.01,1
115,220,food_processor,kitchen_appliance,2,otherprop,n03378174,food_processor.n.01,1
116,221,coffee_machine,kitchen_appliance,2,otherprop,n03063338,coffee_maker.n.01,1
117,222,microwave,kitchen_appliance,2,otherprop,n03761084,microwave.n.02,1
118,223,vacuum_cleaner,household_appliance,2,otherprop,n04517823,vacuum.n.04,1
119,224,iron,household_appliance,2,otherprop,n03584829,iron.n.04,1
120,225,air_conditioner,air_conditioner,2,otherprop,n02686379,air_conditioner.n.01,1
121,226,pedestal_fan,fan,2,otherprop,n03320046,fan.n.01,1
122,227,air_conditioner,air_conditioner,2,otherprop,n02686379,air_conditioner.n.01,1
123,228,television,television,2,television,n04405907,television_receiver.n.01,1
124,229,towel_rack,bathroom_stuff,2,otherprop,n04459773,towel_rack.n.01,1
125,230,heater,heater,2,otherprop,n03508101,heater.n.01,1
126,232,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
127,233,stand,stand,2,night_stand,n04301000,stand.n.04,1
128,235,rug,rug,2,floor_mat,n04118021,rug.n.01,1
129,236,picture_frame,picture_frame,2,picture,n03931765,picture_frame.n.01,1
130,237,plant,plant,2,otherprop,n00017222,plant.n.02,0
131,238,rug,rug,2,floor_mat,n04118021,rug.n.01,1
132,239,mirror,mirror,2,mirror,n03773035,mirror.n.01,1
133,240,floor_lamp,indoor_lamp,2,lamp,n03367059,floor_lamp.n.01,1
134,241,range_hood,kitchen_appliance,2,otherprop,n04053677,range_hood.n.01,1
135,242,fireplace,fireplace,2,otherstructure,n03346455,fireplace.n.01,1
136,243,bottle,kitchenware,2,otherprop,n02876657,bottle.n.01,1
137,244,glass,kitchenware,2,otherprop,n03438257,glass.n.02,1
138,245,cutting_board,kitchenware,2,otherprop,n03025513,chopping_board.n.01,1
139,246,door,door,2,door,n03221720,door.n.01,1
140,247,door,door,2,door,n03221720,door.n.01,1
141,248,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
142,249,chair,chair,2,chair,n03001627,chair.n.01,1
143,250,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
144,251,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
145,252,dining_table,table,2,table,n04379243,table.n.02,1
146,253,stairs,stairs,1,floor,n04314914,step.n.04,1
147,254,stairs,stairs,1,floor,n04314914,step.n.04,1
148,255,chair,chair,2,chair,n03001627,chair.n.01,1
149,256,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,1
150,257,picture_frame,picture_frame,2,picture,n03931765,picture_frame.n.01,1
151,258,vase,vase,2,otherprop,n04522168,vase.n.01,1
152,259,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
153,260,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
154,261,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
155,262,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
156,263,ironing_board,household_appliance,2,otherprop,n03586090,ironing_board.n.01,1
157,264,range_oven,kitchen_appliance,2,otherprop,n04330340,stove.n.01,1
158,265,beer,kitchenware,2,otherprop,n07886849,beer.n.01,1
159,266,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
160,267,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
161,268,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
162,269,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
163,270,bunker_bed,bed,2,bed,n02818832,bed.n.01,1
164,271,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
165,272,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
166,273,desk,desk,2,desk,n03179701,desk.n.01,1
167,274,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
168,275,curtain,curtain,2,curtain,n03151077,curtain.n.01,1
169,276,curtain,curtain,2,blinds,n03151077,curtain.n.01,1
